model_type,s,c,w,mw,t,min_t_frame,avg_t_frame,max_t_frame,min_waiting_time,avg_waiting_time,max_waiting_time,min_c_broken,avg_c_broken,max_c_broken
cdqn,0.0,0.0,1.0,0.0,0.0,11,23.77,62,0.0,6.18869736458927,20.33,0.0,0.0,0.0
cdqn,0.0,0.0,1.0,1.5,0.0,12,24.125,73,0.0,6.2396805596787,19.995,0.0,0.0,0.0
cdqn,1.0,0.0,1.0,0.0,0.0,11,23.21,54,0.0,6.186465391501639,19.745,0.0,0.0,0.0
cdqn,1.0,0.0,1.0,1.5,0.0,12,24.105,56,0.0,6.183250747028507,20.585,0.0,0.0,0.0
cdqn,1.5,0.0,1.0,0.0,0.0,12,24.135,52,0.0,6.159901008546259,20.23,0.0,0.0,0.0
cdqn,1.5,0.0,1.0,1.5,0.0,12,22.385,57,0.0,5.993450376201515,19.055,0.0,0.0,0.0
cdqn,2.0,0.0,1.0,0.0,0.0,11,24.2,56,0.0,6.159336172183012,20.475,0.0,0.0,0.0
cdqn,2.0,0.0,1.0,1.5,0.0,12,24.075,58,0.0,6.183320130672648,20.425,0.0,0.0,0.0
dqn,0.0,0.0,1.0,0.0,0.0,12,19.855,43,0.0,6.265042052864285,18.715,16.27906976744186,31.453488372093023,67.44186046511628
dqn,0.0,0.0,1.0,1.5,0.0,11,19.04,52,0.0,6.169835563980961,17.965,11.538461538461538,25.048076923076923,61.53846153846154
dqn,1.0,0.0,1.0,0.0,0.0,11,19.495,42,0.0,6.326759082062487,18.4,7.142857142857142,32.17857142857143,69.04761904761905
dqn,1.0,0.0,1.0,1.5,0.0,11,19.29,44,0.0,6.114832964407571,18.1,11.363636363636363,30.045454545454547,70.45454545454545
dqn,1.5,0.0,1.0,0.0,0.0,10,19.26,44,0.0,6.160745510049115,18.16,11.363636363636363,29.829545454545453,61.36363636363637
dqn,1.5,0.0,1.0,1.5,0.0,12,19.145,46,0.0,6.19286297799075,18.11,8.695652173913043,28.652173913043477,69.56521739130434
dqn,2.0,0.0,1.0,0.0,0.0,12,19.26,41,0.0,6.247960829439475,18.19,9.75609756097561,32.426829268292686,70.73170731707317
dqn,2.0,0.0,1.0,1.5,0.0,11,19.7,46,0.0,6.21292486213709,18.685,8.695652173913043,29.60869565217391,69.56521739130434
